broaderDe,id,notation,labelEn,labelDe,cnt,gndId,s
Energie und Wasser,142964,PEW01.04-01,,Holzkohle,1,,http://zbw.eu/beta/pm20voc/ip/142964
Konsumgut,142115,PID04-Dr,,Betäubungsmittel,3,4013058-7,http://zbw.eu/beta/pm20voc/ip/142115
Betäubungsmittel,143124,PID04-Dr05,,"Koka, Kokain",39,4048610-2,http://zbw.eu/beta/pm20voc/ip/143124
Schmuckwaren,142111,PID04-Sc01,Amber,Bernstein,22,4005818-9,http://zbw.eu/beta/pm20voc/ip/142111
Alte HWWA Warenklassifikation,148466,PID07,Metals,Metalle,1,,http://zbw.eu/beta/pm20voc/ip/148466
Metalle,161442,PID07.01,Non-ferrous metal,NE-Metall,1,4001573-7,http://zbw.eu/beta/pm20voc/ip/161442
Halbmetall,141977,PID07.01-Hm01,Antimony,Antimon,38,4002299-7,http://zbw.eu/beta/pm20voc/ip/141977
Halbmetall,142006,PID07.01-Hm02,Arsenic,Arsen,35,4192970-6,http://zbw.eu/beta/pm20voc/ip/142006
NE-Metall,143156,PID07.01-Ku,Copper,Kupfer,1,,http://zbw.eu/beta/pm20voc/ip/143156
NE-Metall,143572,PID07.01-Lm,Light metal,Leichtmetall,1,4035174-9,http://zbw.eu/beta/pm20voc/ip/143572
Leichtmetall,141969,PID07.01-Lm01,Aluminium,Aluminium,94,4001573-7,http://zbw.eu/beta/pm20voc/ip/141969
Leichtmetall,142042,PID07.01-Lm02,,Barium,29,4144082-1,http://zbw.eu/beta/pm20voc/ip/142042
Leichtmetall,142103,PID07.01-Lm03,,Beryllium,20,4152626-0,http://zbw.eu/beta/pm20voc/ip/142103
Eisen- und Stahlwaren,142113,PID07.03-01,,"Beschläge, Scharnier",12,4005997-2,http://zbw.eu/beta/pm20voc/ip/142113
Eisen- und Stahlwaren,142094,PID07.03-Co,,Behälter,14,4278776-2,http://zbw.eu/beta/pm20voc/ip/142094
Geräte und Werkzeuge,141947,PID07.03-Wz01,,"Axt, Beil, Hammer",13,4140714-3,http://zbw.eu/beta/pm20voc/ip/141947
Maschinenbauprodukte,141985,PID08-Ap,Appliances and instruments,Apparate und Instrumente,42,4061555-8,http://zbw.eu/beta/pm20voc/ip/141985
Apparate und Instrumente,142039,PID08-Ap01,,Barometer,7,4144061-4,http://zbw.eu/beta/pm20voc/ip/142039
Maschinenbauprodukte,142004,PID08-Ar,Fittings (Armature),Armatur,16,4062521-7,http://zbw.eu/beta/pm20voc/ip/142004
